


209 1.013160093   0.001438181
210 1.013160093   0.001424919
211 1.013160093   0.001428063
212 1.013160093   0.001422410
213 1.013160093   0.001413890
214 1.013160093   0.001418054
215 1.013160093   0.001406702
216 1.013160093   0.001391347
217 1.013160093   0.001389958
218 1.013160093   0.001407588
219 1.013160093   0.001406443
220 1.013160093   0.001396887
221 1.011280094   0.001402706
222 1.011280094   0.001388693
223 1.013160093   0.001378691
224 1.011280094   0.001374427
225 1.011280094   0.001361132
226 1.011280094   0.001352753
227 1.011280094   0.001349042
228 1.011280094   0.001337655
229 1.011280094   0.001329575
230 1.011280094   0.001325289
231 1.011280094   0.001313059
232 1.011280094   0.001301119
233 1.011280094   0.001303174
234 1.011280094   0.001291528
235 1.011280094   0.001278611
236 1.011280094   0.001275053
237 1.011280094   0.001272351
238 1.011280094   0.001263711
239 1.011280094   0.001248914
240 1.011280094   0.001242201
241 1.011280094   0.001230800
242 1.011280094   0.001225945
243 1.011280094   0.001227112
244 1.011280094   0.001218987
245 1.011280094   0.001207258
246 1.011280094   0.001196796
247 1.011280094   0.001189399
248 1.011280094   0.001181767
249 1.011280094   0.001178125
250 1.011280094   0.001174119
251 1.011280094   0.001162194
252 1.011280094   0.001155169
253 1.011280094   0.001157117
254 1.011280094   0.001152619
255 1.011280094   0.001145367
256 1.011280094   0.001141315
257 1.011280094   0.001134041
258 1.011280094   0.001121175
259 1.011280094   0.001117664
260 1.011280094   0.001130413
261 1.011280094   0.001129242
262 1.011280094   0.001126918
263 1.011280094   0.001128322
264 1.011280094   0.001122809
265 1.011280094   0.001111164
266 1.011280094   0.001102582
267 1.011280094   0.001113443
268 1.011280094   0.001107237
269 1.011280094   0.001104403
270 1.011280094   0.001106536
271 1.011280094   0.001103306
272 1.011280094   0.001099626
273 1.011280094   0.001094699
274 1.011280094   0.001098816
275 1.011280094   0.001090945
276 1.011280094   0.001081352
277 1.011280094   0.001076525
278 1.011280094   0.001074796
279 1.011280094   0.001070544
280 1.011280094   0.001071043
281 1.009400095   0.001071178
282 1.009400095   0.001062558
283 1.009400095   0.001056182
284 1.009400095   0.001052205
285 1.009400095   0.001044535
286 1.009400095   0.001035805
287 1.009400095   0.001031908
288 1.009400095   0.001030796
289 1.009400095   0.001024045
290 1.009400095   0.001017365
291 1.009400095   0.001012600
292 1.009400095   0.001003893
293 1.009400095   0.0009985062
294 1.009400095   0.001001285
295 1.009400095   0.0009964879
296 1.009400095   0.0009872919
297 1.009400095   0.0009831220
298 1.009400095   0.0009835477
299 1.009400095   0.0009797561
300 1.009400095   0.0009761433
301 1.009400095   0.0009805029
302 1.009400095   0.0009722365
303 1.009400095   0.0009619804
304 1.009400095   0.0009619294
305 1.009400095   0.0009669276
306 1.009400095   0.0009647948
307 1.009400095   0.0009623124
308 1.009400095   0.0009713692
309 1.009400095   0.0009645759
310 1.009400095   0.0009550168
311 1.009400095   0.0009558778
312 1.009400095   0.0009619636
313 1.009400095   0.0009555324
314 1.009400095   0.0009519376
315 1.009400095   0.0009682119
316 1.009400095   0.0009661721
317 1.009400095   0.0009632555
318 1.009400095   0.0009658646
319 1.009400095   0.0009734134
320 1.009400095   0.0009631039
321 1.009400095   0.0009529433
322 1.009400095   0.0009642597
323 1.009400095   0.0009594752
324 1.009400095   0.0009590464
325 1.007520096   0.0009624776
326 1.007520096   0.0009564469
327 1.007520096   0.0009551106
328 1.007520096   0.0009478582
329 1.007520096   0.0009429095
330 1.007520096   0.0009425819
331 1.007520096   0.0009360725
332 1.007520096   0.0009291456
333 1.007520096   0.0009290312
334 1.007520096   0.0009237691
335 1.007520096   0.0009172588
336 1.007520096   0.0009158286
337 1.007520096   0.0009119028
338 1.007520096   0.0009066921
339 1.007520096   0.0009014280
340 1.007520096   0.0008984838
341 1.007520096   0.0008919087
342 1.007520096   0.0008884454
343 1.007520096   0.0008881178
344 1.007520096   0.0008823308
345 1.007520096   0.0008760850
346 1.007520096   0.0008755761
347 1.007520096   0.0008707471
348 1.007520096   0.0008647662
349 1.007520096   0.0008633610
350 1.007520096   0.0008603030
351 1.007520096   0.0008564221
352 1.007520096   0.0008520476
353 1.007520096   0.0008509546
354 1.007520096   0.0008432891
355 1.007520096   0.0008362387
356 1.007520096   0.0008360598
357 1.007520096   0.0008334006
358 1.007520096   0.0008301573
359 1.007520096   0.0008259499
360 1.007520096   0.0008210287
361 1.007520096   0.0008148976
362 1.007520096   0.0008116766
363 1.007520096   0.0008102224
364 1.007520096   0.0008051969
365 1.007520096   0.0008011762
366 1.007520096   0.0008002097
367 1.007520096   0.0007968911
368 1.007520096   0.0007929006
369 1.007520096   0.0007912471
370 1.007520096   0.0007856895
371 1.007520096   0.0007788238
372 1.007520096   0.0007765866
373 1.007520096   0.0007792481
374 1.007520096   0.0007775176
375 1.007520096   0.0007740963
376 1.007520096   0.0007746625
377 1.007520096   0.0007683484
378 1.007520096   0.0007614931
379 1.007520096   0.0007604426
380 1.007520096   0.0007634874
381 1.007520096   0.0007610427
382 1.007520096   0.0007586440
383 1.007520096   0.0007644865
384 1.007520096   0.0007612165
385 1.007520096   0.0007559318
386 1.007520096   0.0007555108
387 1.007520096   0.0007576303
388 1.007520096   0.0007517551
389 1.007520096   0.0007482418
390 1.007520096   0.0007580349
391 1.007520096   0.0007574395
392 1.007520096   0.0007555498
393 1.007520096   0.0007568593
394 1.007520096   0.0007604686
395 1.007520096   0.0007525857
396 1.007520096   0.0007461530
397 1.007520096   0.0007543715
398 1.007520096   0.0007519088
399 1.007520096   0.0007510839
400 1.007520096   0.0007519643
401 1.007520096   0.0007560019
402 1.007520096   0.0007507347
403 1.007520096   0.0007450661
404 1.007520096   0.0007493492
405 1.007520096   0.0007455753
406 1.007520096   0.0007426879
407 1.007520096   0.0007414977
408 1.007520096   0.0007453943
409 1.007520096   0.0007414065
410 1.007520096   0.0007368668
411 1.007520096   0.0007387980
412 1.007520096   0.0007393882
413 1.007520096   0.0007356977
414 1.007520096   0.0007333743
415 1.007520096   0.0007402223
416 1.007520096   0.0007369139
417 1.007520096   0.0007336275
418 1.007520096   0.0007309726
419 1.007520096   0.0007330356
420 1.007520096   0.0007289361
421 1.007520096   0.0007253311
422 1.007520096   0.0007287029
423 1.007520096   0.0007274611
424 1.007520096   0.0007242711
425 1.007520096   0.0007223762
426 1.007520096   0.0007278342
427 1.007520096   0.0007262512
428 1.007520096   0.0007244895
429 1.007520096   0.0007224510
430 1.007520096   0.0007257002
431 1.007520096   0.0007208310
432 1.007520096   0.0007156856
433 1.007520096   0.0007154164
434 1.007520096   0.0007140416
435 1.007520096   0.0007111494
436 1.007520096   0.0007103953
437 1.003760098   0.0007151647
438 1.005640097   0.0007136255
